date,day_of_week,is_weekend,total_events,successful_events,failed_events,overall_reliability_pct,app_events,docklet_events,direct_thread_events,remote_events,scene_events,uc1_count,uc2_count,uc3_count,uc4_count,uc5_count,uc1_reliability_pct,uc2_reliability_pct,uc4_reliability_pct,uc5_reliability_pct,avg_latency_ms,p50_latency_ms,p95_latency_ms,max_latency_ms,min_latency_ms,under_1s_count,north_star_pct
2025-06-15,Sunday,True,52,50,2,96.15,21,11,10,10,10,20,11,1,10,10,100.0,90.91,100.0,100.0,493,397,1284,1345,60,44,88.0
2025-06-16,Monday,False,45,44,1,97.78,21,7,9,8,9,19,7,2,9,8,100.0,85.71,100.0,100.0,556,438,1328,1873,54,37,84.09
2025-06-17,Tuesday,False,45,44,1,97.78,15,15,5,10,5,15,15,0,5,10,100.0,93.33,100.0,100.0,489,440,1056,1112,63,41,93.18
2025-06-18,Wednesday,False,42,39,3,92.86,14,11,9,8,9,13,11,1,9,8,84.62,100.0,100.0,100.0,453,402,1149,1224,70,34,87.18
2025-06-19,Thursday,False,39,38,1,97.44,20,8,5,6,5,17,8,3,5,6,100.0,100.0,100.0,83.33,539,452,1385,2161,74,33,86.84
2025-06-20,Friday,False,45,43,2,95.56,20,7,11,7,11,20,7,0,11,7,95.0,100.0,100.0,85.71,429,409,1055,1299,53,40,93.02
2025-06-21,Saturday,True,56,56,0,100.0,26,11,10,9,10,22,11,4,10,9,100.0,100.0,100.0,100.0,580,476,1418,2028,58,46,82.14
2025-06-22,Sunday,True,45,42,3,93.33,18,12,6,9,6,15,12,3,6,9,100.0,91.67,100.0,77.78,545,508,1338,1420,63,38,90.48
2025-06-23,Monday,False,48,48,0,100.0,28,9,7,4,7,24,9,4,7,4,100.0,100.0,100.0,100.0,528,468,1216,2166,50,44,91.67
2025-06-24,Tuesday,False,34,34,0,100.0,22,3,5,4,5,20,3,2,5,4,100.0,100.0,100.0,100.0,506,467,1340,1448,51,31,91.18
2025-06-25,Wednesday,False,45,44,1,97.78,13,14,11,7,11,11,14,2,11,7,100.0,92.86,100.0,100.0,490,356,1395,1834,50,37,84.09
2025-06-26,Thursday,False,38,38,0,100.0,18,12,7,1,7,16,12,2,7,1,100.0,100.0,100.0,100.0,380,397,1029,1048,108,36,94.74
2025-06-27,Friday,False,36,36,0,100.0,13,14,5,4,5,12,14,1,5,4,100.0,100.0,100.0,100.0,449,405,1276,1318,60,32,88.89
2025-06-28,Saturday,True,50,49,1,98.0,18,15,7,10,7,17,15,1,7,10,94.12,100.0,100.0,100.0,531,444,1276,1556,53,41,83.67
2025-06-29,Sunday,True,52,52,0,100.0,22,12,10,8,10,22,12,0,10,8,100.0,100.0,100.0,100.0,466,473,1245,1272,50,48,92.31
2025-06-30,Monday,False,36,34,2,94.44,18,6,6,6,6,15,6,3,6,6,93.33,100.0,100.0,100.0,537,466,1242,1783,63,31,91.18
2025-07-01,Tuesday,False,48,48,0,100.0,27,9,5,7,5,24,9,3,5,7,100.0,100.0,100.0,100.0,536,453,1312,1847,77,43,89.58
2025-07-02,Wednesday,False,38,37,1,97.37,15,8,6,9,6,15,8,0,6,9,93.33,100.0,100.0,100.0,514,444,1230,1280,57,32,86.49
2025-07-03,Thursday,False,45,45,0,100.0,21,11,7,6,7,20,11,1,7,6,100.0,100.0,100.0,100.0,449,420,1033,1669,58,42,93.33
2025-07-04,Friday,False,43,43,0,100.0,15,13,5,10,5,14,13,1,5,10,100.0,100.0,100.0,100.0,538,415,1164,1546,61,36,83.72
2025-07-05,Saturday,True,48,45,3,93.75,18,11,8,11,8,16,11,2,8,11,100.0,100.0,100.0,72.73,524,410,1264,1343,52,37,82.22
2025-07-06,Sunday,True,48,48,0,100.0,21,13,9,5,9,20,13,1,9,5,100.0,100.0,100.0,100.0,453,445,1106,1250,53,45,93.75
2025-07-07,Monday,False,41,41,0,100.0,17,10,7,7,7,15,10,2,7,7,100.0,100.0,100.0,100.0,533,411,1341,1573,72,33,80.49
2025-07-08,Tuesday,False,34,32,2,94.12,19,3,4,8,4,18,3,1,4,8,100.0,100.0,100.0,87.5,530,509,1243,1309,50,28,87.5
2025-07-09,Wednesday,False,46,44,2,95.65,17,12,8,9,8,15,12,2,8,9,100.0,100.0,100.0,88.89,466,398,1346,1526,67,40,90.91
2025-07-10,Thursday,False,33,33,0,100.0,12,9,7,5,7,12,9,0,7,5,100.0,100.0,100.0,100.0,460,418,1283,1380,95,30,90.91
2025-07-11,Friday,False,38,38,0,100.0,16,9,5,8,5,12,9,4,5,8,100.0,100.0,100.0,100.0,648,455,1745,2180,58,30,78.95
2025-07-12,Saturday,True,42,41,1,97.62,20,12,0,10,0,20,12,0,0,10,100.0,91.67,0,100.0,544,519,1021,1180,183,38,92.68
2025-07-13,Sunday,True,52,50,2,96.15,20,12,11,9,11,19,12,1,11,9,100.0,91.67,100.0,100.0,449,398,1113,1317,50,47,94.0
2025-07-14,Monday,False,47,44,3,93.62,16,13,8,10,8,13,13,3,8,10,92.31,100.0,100.0,80.0,558,389,1376,1663,80,34,77.27
2025-07-15,Tuesday,False,47,47,0,100.0,18,15,4,10,4,16,15,2,4,10,100.0,100.0,100.0,100.0,539,458,1067,1923,80,41,87.23
